City,Country,Smart_Parking,Car_Sharing_Services,Traffic,Public_Transport,Clean_Energy,Smart_Building,Waste_Disposal,Environment_Protection,Sustainability_Index,Citizen_Participation,Digitalization_of_Goverment,Urban_Planning,Education,Business_Ecosystem,Blockchain_Ecosystem,4G_LTE,Internet_Speed,Wifi_Hotspots,Smartphone_Penetration,Cyber_Security,Living_Standard,How_the_City_is_Becoming_Smarter,Rank_Score,Code
New York,United States,9.7,7.45,3.48,7.53,2.45,9.03,5.76,1.6,4.83,2.54,8.13,9.4,3.1,9.03,9.92,3.7,6.33,10.0,6.97,6.18,8.65,7.15,6.71,USA
"Washington, DC",United States,6.25,8.58,5.73,1.0,2.45,9.03,5.76,2.58,4.83,3.62,9.7,9.78,8.28,9.85,9.38,3.55,6.03,9.1,6.97,6.18,8.8,6.46,6.86,USA
Philadelphia,United States,4.6,5.65,8.73,8.13,2.45,9.03,5.76,2.13,4.83,2.92,6.25,9.33,5.28,9.7,8.45,5.43,8.5,6.25,6.97,6.18,9.4,3.0,6.61,USA
Chicago,United States,9.48,4.98,7.23,9.03,2.45,9.03,5.76,1.9,4.83,3.46,5.2,10.0,4.15,9.4,9.46,4.83,7.6,9.63,6.97,6.18,9.33,3.0,6.95,USA
Los Angeles,United States,9.93,7.38,1.38,9.4,2.45,9.03,5.76,1.83,4.83,2.85,4.53,3.48,4.08,9.48,9.84,5.28,7.98,9.93,6.97,6.18,8.95,9.23,6.59,USA
Tokyo,Japan,9.78,8.8,2.35,9.25,3.97,8.5,3.42,3.18,6.55,2.46,6.4,6.25,2.28,6.78,1.47,1.83,3.33,9.55,1.76,9.33,3.93,10.0,5.4,JPN
Osaka,Japan,8.28,8.95,7.23,9.03,3.97,8.5,3.42,4.15,6.55,2.46,7.0,6.18,3.78,2.05,1.47,1.9,3.63,7.45,1.76,9.33,4.98,9.23,5.44,JPN
Amsterdam,Netherlands,8.35,8.88,8.88,3.93,1.92,6.85,8.94,3.48,4.9,9.08,9.48,8.43,5.43,9.55,9.22,8.13,6.7,8.13,6.45,7.23,7.38,10.0,6.92,NLD
Melbourne,Australia,8.58,6.55,4.23,9.7,2.75,6.33,4.18,1.08,3.18,9.85,3.93,6.4,2.73,2.65,3.64,6.03,2.13,5.95,4.93,9.63,6.4,6.46,5.21,AUS
Sydney,Australia,7.53,7.83,2.58,9.7,2.75,6.33,4.18,1.0,3.18,9.92,3.7,7.3,2.35,7.08,7.28,9.18,5.8,7.9,4.93,9.63,6.03,6.46,5.77,AUS
Perth,Australia,7.38,1.23,6.63,9.7,2.75,6.33,4.18,1.3,3.18,9.31,3.33,3.25,3.48,6.93,2.71,4.98,1.53,5.58,4.93,9.63,7.15,6.46,4.98,AUS
Adelaide,Australia,5.73,3.25,6.63,9.7,2.75,6.33,4.18,1.38,3.18,9.54,3.48,2.43,4.6,4.0,2.71,6.4,2.35,2.73,4.93,9.63,7.3,9.23,4.87,AUS
Vancouver,Canada,5.88,10.0,2.58,7.3,9.24,4.38,3.8,2.2,5.43,4.92,7.9,6.7,7.15,8.8,7.59,9.55,9.18,6.78,7.28,9.93,5.35,7.15,6.65,CAN
Montreal,Canada,10.0,9.55,5.73,7.3,9.24,4.38,3.8,1.75,5.43,3.31,6.7,9.85,4.53,8.28,7.52,9.33,8.8,6.93,7.28,9.93,5.8,9.23,6.84,CAN
Toronto,Canada,9.25,9.25,4.98,7.3,9.24,4.38,3.8,1.45,5.43,5.77,2.95,9.93,3.4,7.9,8.22,7.53,5.5,8.05,7.28,9.93,5.43,9.23,6.42,CAN
Ottawa,Canada,9.55,5.2,6.33,7.3,9.24,4.38,3.8,1.98,5.43,7.0,6.18,9.7,5.13,6.55,3.17,7.0,4.9,4.98,7.28,9.93,5.58,9.54,6.25,CAN
Berlin,Germany,9.63,9.63,5.73,3.7,5.73,10.0,9.92,3.7,7.53,8.15,2.65,8.2,3.03,3.48,9.61,3.55,5.28,8.95,6.45,5.65,7.53,7.23,6.71,DEU
Hamburg,Germany,8.8,8.73,4.23,3.7,5.73,10.0,9.92,4.23,7.53,6.77,3.25,8.58,4.23,8.2,9.3,2.2,3.1,5.28,6.45,5.65,7.08,7.15,6.52,DEU
Munich,Germany,6.63,9.33,4.98,3.7,5.73,10.0,9.92,4.38,7.53,7.69,2.13,8.5,4.9,3.03,8.91,4.08,5.95,4.68,6.45,5.65,6.33,9.23,6.36,DEU
Dusseldorf,Germany,5.35,7.75,7.98,3.7,5.73,10.0,9.92,5.05,7.53,8.0,1.75,1.38,7.3,7.0,7.05,7.0,9.33,4.3,6.45,5.65,7.83,6.46,6.63,DEU
Bayreuth,Germany,1.08,1.68,7.23,3.7,5.73,10.0,9.92,4.83,7.53,7.69,7.75,2.58,5.95,7.3,7.05,2.13,2.65,1.23,6.45,5.65,9.25,3.38,5.67,DEU
Hannover,Germany,2.95,7.15,5.73,3.7,5.73,10.0,9.92,5.2,7.53,7.15,7.53,6.1,8.35,4.83,7.05,4.53,6.85,2.95,6.45,5.65,8.2,3.0,6.48,DEU
Cologne,Germany,6.78,8.65,3.78,3.7,5.73,10.0,9.92,4.6,7.53,8.0,1.98,1.6,5.65,9.1,8.14,6.48,9.03,4.53,6.45,5.65,7.9,3.0,6.6,DEU
Frankfurt am Main,Germany,5.2,8.05,6.33,3.7,5.73,10.0,9.92,4.75,7.53,8.38,1.6,5.35,6.55,8.43,8.99,3.18,4.6,5.5,6.45,5.65,6.85,9.23,6.46,DEU
Stuttgart,Germany,7.45,8.28,3.78,3.7,5.73,10.0,9.92,5.13,7.53,8.31,1.75,4.9,7.23,5.65,8.91,3.78,5.65,4.0,6.45,5.65,7.68,6.46,6.53,DEU
Bochum,Germany,1.75,1.75,8.95,3.7,5.73,10.0,9.92,5.43,7.53,8.0,5.58,1.0,9.55,8.35,7.05,5.2,7.38,1.9,6.45,5.65,9.1,6.46,6.34,DEU
London,United Kingdom,9.85,9.7,2.35,6.7,4.74,9.25,7.5,5.73,5.73,4.08,1.08,8.95,1.98,5.05,9.77,3.85,6.25,9.78,5.54,4.53,4.0,9.23,5.99,GBR
Birmingham,United Kingdom,3.03,6.33,7.23,6.7,4.74,9.25,7.5,6.18,5.73,2.62,1.53,5.8,5.73,9.63,8.29,3.25,5.2,3.55,5.54,4.53,4.08,3.0,5.49,GBR
Leeds,United Kingdom,4.9,4.0,7.23,6.7,4.74,9.25,7.5,6.4,5.73,3.08,6.85,2.35,6.03,7.83,7.13,6.03,8.65,3.78,5.54,4.53,5.13,3.0,5.85,GBR
Tel Aviv,Israel,2.05,6.7,3.48,4.83,1.53,5.88,2.74,4.3,2.35,3.23,7.83,8.88,6.85,8.73,3.95,2.05,3.7,7.3,6.45,2.35,2.65,10.0,4.43,ISR
Seoul,South Korea,6.33,9.78,2.35,9.25,1.38,5.28,8.71,2.43,6.78,6.23,3.85,5.28,1.6,6.33,1.0,7.6,7.45,9.03,7.58,4.68,3.25,9.23,5.3,KOR
Daejeon,South Korea,4.3,7.98,8.73,9.85,1.38,5.28,8.71,2.88,6.78,6.08,3.03,1.08,4.38,2.5,1.0,9.48,9.85,7.75,7.58,4.68,3.85,6.46,5.38,KOR
Luxembourg,Luxembourg,1.83,5.13,4.23,8.43,5.81,5.13,8.26,2.73,7.68,9.85,7.23,7.98,9.78,7.75,7.05,4.53,2.43,3.48,9.92,6.78,9.78,6.46,5.98,LUX
Vienna,Austria,8.5,8.5,4.6,7.3,9.54,5.95,10.0,5.65,7.98,8.54,1.98,7.83,3.85,5.5,7.05,8.95,8.13,7.08,10.0,7.45,8.58,9.23,6.69,AUT
Oslo,Norway,9.1,7.08,4.98,7.9,9.92,1.75,8.18,5.8,9.7,8.15,7.38,7.38,5.58,2.43,3.87,9.85,9.48,5.05,9.17,9.1,9.55,9.23,6.84,NOR
Trondheim,Norway,6.18,4.3,9.48,7.9,9.92,1.75,8.18,6.25,9.7,7.54,8.73,4.53,9.25,3.78,1.78,9.4,8.05,2.35,9.17,9.1,9.7,3.0,6.7,NOR
Stavanger,Norway,1.53,4.45,7.98,7.9,9.92,1.75,8.18,6.63,9.7,7.31,7.98,4.53,9.85,4.45,1.78,10.0,9.78,2.2,9.17,9.1,10.0,3.0,6.42,NOR
Bergen,Norway,8.13,6.18,9.63,7.9,9.92,1.75,8.18,6.1,9.7,7.54,8.65,5.5,7.98,6.85,1.78,9.7,8.73,3.1,9.17,9.1,9.93,6.46,7.06,NOR
Dubai,United Arab Emirates,9.18,5.73,5.73,8.05,1.15,2.35,2.59,1.15,1.38,1.38,4.3,3.25,1.53,1.38,3.09,7.08,2.5,8.65,9.32,2.13,6.25,9.54,4.32,ARE
Abu Dhabi,United Arab Emirates,6.4,4.9,9.03,8.58,1.15,2.35,2.59,1.53,1.38,1.08,7.15,7.68,3.63,4.9,2.16,5.65,1.98,4.6,9.32,2.13,6.18,9.54,4.55,ARE
Dublin,Ireland,5.5,5.95,1.6,5.05,4.81,6.03,7.2,3.85,8.2,5.23,1.15,4.6,6.48,8.65,8.14,2.8,4.68,6.33,9.92,7.38,8.28,6.69,5.45,IRL
Manama,Bahrain,1.0,2.35,9.48,2.28,1.0,1.0,2.13,2.05,1.08,6.31,7.6,4.53,8.73,1.75,1.0,1.3,1.38,3.85,7.58,1.0,6.55,0.0,3.47,BHR
Auckland,New Zealand,7.68,4.15,2.88,9.85,9.62,2.88,3.87,2.8,7.68,5.46,5.35,9.33,2.95,4.23,2.01,9.03,8.2,8.35,5.31,9.18,3.33,6.46,5.52,NZL
Madrid,Spain,7.98,8.2,7.53,5.05,6.03,5.73,5.24,7.23,2.88,7.08,5.13,6.48,1.9,5.43,7.05,7.9,9.63,8.95,5.08,2.73,2.5,6.46,5.74,ESP
Barcelona,Spain,5.65,6.93,4.6,5.05,6.03,5.73,5.24,7.3,2.88,6.62,4.53,1.15,2.13,5.35,8.91,2.35,3.18,6.03,5.08,2.73,2.05,10.0,4.6,ESP
Taipei,Taiwan,8.05,1.6,2.35,10.0,1.61,4.08,9.17,2.95,6.55,5.92,7.45,9.63,2.5,5.13,3.56,9.18,8.28,6.7,7.35,7.3,9.03,9.23,5.78,TWN
Doha,Qatar,1.15,1.53,6.33,4.6,1.0,2.58,1.53,1.23,1.45,1.0,2.2,6.55,3.7,1.15,1.0,5.73,1.9,4.75,8.11,2.95,9.85,0.0,3.32,QAT
Brussels,Belgium,4.68,7.0,2.88,4.68,4.2,5.88,9.02,4.9,5.05,8.92,1.0,9.18,4.3,4.75,7.05,8.58,7.08,7.68,5.16,4.23,5.5,6.69,5.34,BEL
